objid,ra,dec,u,g,r,i,z,specobjid,class,redshift
1.23767E+18,164.2319834,21.02976403,18.86042,17.75519,17.30002,16.9792,16.81246,2.7969E+18,GALAXY,0.07746357
1.23767E+18,112.2883134,39.89056079,19.35905,18.20622,17.61567,17.23815,17.03974,1.95131E+18,GALAXY,0.09520699
1.23767E+18,55.61189437,-0.582835701,17.63233,15.97242,15.21826,14.77321,14.40888,4.68413E+17,GALAXY,0.0522619
1.23766E+18,140.8138819,63.58673537,19.08998,17.85366,17.21957,16.85098,16.63537,2.01212E+18,GALAXY,0.1189609
1.23767E+18,122.0643651,34.24757318,19.53172,18.11822,17.40294,17.03323,16.76731,9.28974E+17,GALAXY,0.1083424
1.23766E+18,171.2352939,43.28279722,17.82284,16.98502,16.72672,16.62551,16.53616,1.53688E+18,GALAXY,0.00679836
1.23767E+18,140.5179267,16.01849695,19.31409,18.05629,17.43041,17.03867,16.81909,2.74732E+18,GALAXY,0.09974346
1.23766E+18,117.3548133,31.98890085,18.64309,17.48019,16.9938,16.61145,16.50607,1.00215E+18,GALAXY,0.05583455
1.23766E+18,220.1030913,58.04334779,18.27801,17.1023,16.58904,16.26816,16.09674,8.89614E+17,GALAXY,0.07362734
1.23768E+18,10.17754508,-1.268354097,19.23274,18.08865,17.61598,17.31314,17.15214,1.6833E+18,GALAXY,0.1103478
1.23767E+18,192.3555966,26.83087455,19.22507,17.45216,16.53989,16.12907,15.80882,2.51979E+18,GALAXY,0.08830547
1.23766E+18,208.1875687,36.31657941,19.29322,18.04614,17.23753,16.82223,16.55571,2.28898E+18,GALAXY,0.1417513
1.23766E+18,227.7969357,4.798317405,19.47391,17.49095,16.52396,16.07581,15.69253,5.37754E+18,GALAXY,0.07835826
1.23766E+18,162.7107824,47.83315911,19.53745,18.27973,17.57464,17.17298,16.98181,1.08437E+18,GALAXY,0.1034583
1.23766E+18,162.1699099,53.22769939,18.99453,17.70738,16.82139,16.38041,16.08257,1.1373E+18,GALAXY,0.1615105
1.23766E+18,192.6300131,52.06708954,16.84837,15.72457,15.14337,14.82852,14.5284,9.976E+17,GALAXY,0.02980198
1.23765E+18,195.8170134,-2.419793829,19.3896,17.49035,16.5505,16.11328,15.77238,3.80564E+17,GALAXY,0.08436102
1.23766E+18,229.2047276,28.6329839,19.55383,18.07442,17.31696,16.92556,16.62725,2.07851E+18,GALAXY,0.07262045
1.23765E+18,166.2954232,64.4888401,18.58151,16.9848,16.24048,15.85456,15.598,3.24501E+18,GALAXY,0.05772847
1.23766E+18,143.2742878,32.27686008,19.07701,17.35811,16.4446,16.03852,15.73227,2.18554E+18,GALAXY,0.0725132
1.23767E+18,179.3314625,20.48371989,19.35026,18.12693,17.47277,17.10341,16.90441,2.83181E+18,GALAXY,0.1047748
1.23767E+18,240.638791,11.63706233,19.50315,18.23504,17.66382,17.28296,17.14322,2.84081E+18,GALAXY,0.08158893
1.23766E+18,172.9105245,42.8842866,18.37011,17.3476,17.02023,16.79094,16.73215,1.53804E+18,GALAXY,0.0452247
1.23766E+18,131.5216347,23.7752389,18.74691,17.81027,17.5594,17.33267,17.22048,2.17413E+18,GALAXY,0.05066202
1.23767E+18,17.57862502,15.01147455,19.10299,17.31149,16.42426,15.99439,15.67219,4.75283E+17,GALAXY,0.07420056
