objid,ra,dec,u,g,r,i,z,specobjid,class,redshift
1.23765E+18,125.3134233,-0.497060219,18.56715,17.13503,16.58332,16.38051,16.30507,2.31598E+18,STAR,0.000128684
1.23767E+18,347.3940516,24.47988653,19.08599,18.10414,17.73892,17.57067,17.4642,7.41881E+18,STAR,-0.000731341
1.23766E+18,133.2508391,4.322601561,19.10999,16.74818,15.78091,15.41628,15.23814,3.27985E+18,STAR,-4.09E-05
1.23766E+18,82.70402307,-1.192781398,16.8199,15.28469,14.52246,14.1528,13.94852,2.31042E+18,STAR,4.83E-05
1.23766E+18,234.6830708,43.04196483,19.2295,18.23114,17.87571,17.7277,17.68392,9.58259E+18,STAR,-0.000416189
1.23766E+18,322.3312536,-0.813234655,18.32139,17.08494,16.64132,16.49611,16.46437,2.21022E+18,STAR,-0.000210823
1.23766E+18,251.1101296,27.58528482,19.47024,18.49782,18.10044,17.9501,17.87929,4.71204E+18,STAR,-0.000125575
1.23766E+18,215.2553941,8.530455003,17.98764,17.02435,16.95117,16.97521,17.02476,3.73024E+18,STAR,-6.90E-05
1.23766E+18,217.2148594,49.4075943,17.14966,16.05988,15.68499,15.5618,15.54001,1.17776E+18,STAR,-0.000206553
1.23766E+18,335.2689046,0.080288421,19.52628,18.4403,18.02076,17.82897,17.73998,1.28704E+18,STAR,-0.000669808
1.23765E+18,187.5919519,-0.310501325,16.6283,15.71896,15.47093,15.37003,15.35024,3.25402E+17,STAR,0.00010088
1.23767E+18,194.1226724,23.10052598,17.49947,16.68007,16.39781,16.30242,16.28319,2.98266E+18,STAR,-0.000208853
1.23766E+18,185.3824133,38.69926309,17.782,16.85079,16.57828,16.49736,16.49057,4.46657E+18,STAR,-2.85E-05
1.23765E+18,211.1191049,65.20440871,17.95792,16.63517,16.11665,15.88681,15.78123,3.71E+18,STAR,4.51E-06
1.23765E+18,185.9015378,0.145036439,16.0238,15.09469,14.80986,14.6965,14.6701,2.88018E+18,STAR,0.000477176
1.23767E+18,310.6781019,57.33024799,17.91744,16.19397,15.30894,14.8792,14.63219,2.88803E+18,STAR,-0.000160754
