objid,ra,dec,u,g,r,i,z,specobjid,class,redshift
1.23766E+18,128.1836001,41.06238911,19.11415,18.31084,17.43097,16.96289,16.69847,1.00775E+18,QSO,0.2319106
1.23766E+18,157.1388358,33.45059008,19.17774,18.96008,18.92299,18.91539,18.97382,2.20455E+18,QSO,1.382905
1.23768E+18,1.209816703,22.60836041,19.48223,19.35652,19.07162,18.95817,19.06456,8.63009E+18,QSO,1.322545
1.23766E+18,260.0062052,29.0979789,18.98125,18.91844,18.7682,18.90504,18.90826,1.10349E+18,QSO,1.005079
1.23768E+18,3.250638646,4.652503245,19.03165,18.79186,18.67183,18.54677,18.37696,9.84493E+18,QSO,2.041605
1.23766E+18,176.1985898,10.57858484,18.91183,18.58731,18.39731,18.14561,18.16517,1.37938E+18,QSO,1.56253
1.23767E+18,184.9223558,29.69196439,18.39414,18.31311,18.24721,18.22414,17.80024,2.51078E+18,QSO,0.2748931
1.23767E+18,175.0054998,-3.06294123,18.49039,18.42031,18.21209,18.20465,18.2488,3.68176E+17,QSO,1.133849
1.23766E+18,213.9984962,56.35253514,19.50619,19.24541,19.02522,18.77757,18.94944,7.6596E+18,QSO,1.518391
1.23766E+18,143.9352774,7.361045495,19.44284,19.30695,19.1919,18.93782,19.01786,1.34661E+18,QSO,1.493326
1.23765E+18,126.5577305,49.83870859,18.33035,17.91668,17.72549,17.63712,17.44559,4.1615E+18,QSO,2.181154
1.23766E+18,116.0767045,49.35021805,18.87348,17.76188,16.95309,16.4868,16.20584,2.10321E+18,QSO,0.09780119
1.23768E+18,16.22554408,-2.401471995,19.0274,18.81123,18.65654,18.3111,18.2984,8.86424E+18,QSO,1.845846
1.23767E+18,155.4090988,28.90131462,19.26422,18.88572,18.82393,18.94615,18.86908,1.27814E+19,QSO,0.7440078
1.23766E+18,232.9476248,49.98525836,19.50359,19.37922,18.88573,18.64629,18.36275,1.31282E+18,QSO,0.2639008
1.23765E+18,189.9449131,-2.330319047,19.19618,19.05812,18.91977,18.82687,18.80107,3.77319E+17,QSO,1.371477
1.23767E+18,139.2997367,22.57133442,19.47995,18.78336,18.42664,18.27589,18.08069,1.07975E+19,QSO,2.156798
1.23766E+18,128.6157699,23.34074283,18.68863,18.37827,18.2571,18.0919,18.07008,1.08098E+19,QSO,0.5408576
1.23768E+18,314.9214996,0.922951737,19.04794,18.92245,18.79327,18.54717,18.55598,1.10801E+18,QSO,1.624871
1.23767E+18,245.5595268,16.25510586,19.18238,18.97853,18.77933,18.89677,18.96138,2.47827E+18,QSO,1.047541
